Course No.,Course Title,Description,Attributes1,Attributes2,Autumn '18,Winter '18,Spring '18,Units,Instructor
CS 151,Logic Programming,"Logic Programming is a style of programming based on symbolic logic. In writing a logic program, the programmer describes the application area of the program (as a set of logical sentences) without reference to the internal data structures or operations of the system executing the program. In this regard, a logic program is more of a specification than an implementation; and logic programs are often called runnable specifications. This course introduces basic logic programming theory, current technology, and examples of common applications, notably deductive databases, logical spreadsheets, enterprise management, computational law, and game playing. Work in the course takes the form of readings and exercises, weekly programming assignments, and a term-long project. Prerequisite: CS 106B or equivalent.",Terms: Spr | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: Chaudhri, V. (PI) ; Genesereth, M. (PI)",FALSE,FALSE,TRUE,3 ," Chaudhri, V. (PI) ; Genesereth, M. (PI)"
CS 154,Introduction to Automata and Complexity Theory,"This course provides a mathematical introduction to the following questions: What is computation? Given a computational model, what problems can we hope to solve in principle with this model? Besides those solvable in principle, what problems can we hope to efficiently solve? In many cases we can give completely rigorous answers; in other cases, these questions have become major open problems in computer science and mathematics. By the end of this course, students will be able to classify computational problems in terms of their computational complexity (Is the problem regular? Not regular? Decidable? Recognizable? Neither? Solvable in P? NP-complete? PSPACE-complete?, etc.). Students will gain a deeper appreciation for some of the fundamental issues in computing that are independent of trends of technology, such as the Church-Turing Thesis and the P versus NP problem. Prerequisites: CS 103 or 103B.",Terms: Aut | Units: 3-4 | UG Reqs: GER:DB-EngrAppSci | Grading: Letter or Credit/No Credit,"Instructors: Reingold, O. (PI)",TRUE,FALSE,FALSE,3-4 ," Reingold, O. (PI)"
CS 155,Computer and Network Security,"For seniors and first-year graduate students. Principles of computer systems security. Attack techniques and how to defend against them. Topics include: network attacks and defenses, operating system security, application security (web, apps, databases), malware, privacy, and security for mobile devices. Course projects focus on building reliable code. Prerequisite: 110. Recommended: basic Unix.",Terms: Spr | Units: 3 | UG Reqs: GER:DB-EngrAppSci | Grading: Letter or Credit/No Credit,"Instructors: Boneh, D. (PI) ; Durumeric, Z. (PI)",FALSE,FALSE,TRUE,3 ," Boneh, D. (PI) ; Durumeric, Z. (PI)"
CS 157,Computational Logic,"Rigorous introduction to Symbolic Logic from a computational perspective. Encoding information in the form of logical sentences. Reasoning with information in this form. Overview of logic technology and its applications - in mathematics, science, engineering, business, law, and so forth. Topics include the syntax and semantics of Propositional Logic, Relational Logic, and Herbrand Logic, validity, contingency, unsatisfiability, logical equivalence, entailment, consistency, natural deduction (Fitch), mathematical induction, resolution, compactness, soundness, completeness.",Terms: Aut | Units: 3 | UG Reqs: GER:DB-EngrAppSci | Grading: Letter or Credit/No Credit,"Instructors: Genesereth, M. (PI)",TRUE,FALSE,FALSE,3 ," Genesereth, M. (PI)"
CS 161,Design and Analysis of Algorithms,"Worst and average case analysis. Recurrences and asymptotics. Efficient algorithms for sorting, searching, and selection. Data structures: binary search trees, heaps, hash tables. Algorithm design techniques: divide-and-conquer, dynamic programming, greedy algorithms, amortized analysis, randomization. Algorithms for fundamental graph problems: minimum-cost spanning tree, connected components, topological sort, and shortest paths. Possible additional topics: network flow, string searching. Prerequisite: 103 or 103B; 109 or STATS 116.","Terms: Aut, Win, Sum | Units: 3-5 | UG Reqs: GER:DB-EngrAppSci, WAY-FR | Grading: Letter or Credit/No Credit","Instructors: Rubinstein, A. (PI) ; Wootters, M. (PI)",TRUE,TRUE,FALSE,3-5 ," Rubinstein, A. (PI) ; Wootters, M. (PI)"
CS 166,Data Structures,"Techniques in the design, analysis, and implementation of data structures. Isometries between data structures (including red/black trees and 2-3-4 trees), amortized analysis (including Fibonacci heaps and splay trees), and randomization (including count-min sketches and dynamic perfect hash tables). Data structures for integers and strings (including van Emde Boas trees and suffix trees). Possible additional topics include functional data structures, concurrent data structures, and spatial data structures. Prerequisites: CS107 and CS161.",Terms: Spr | Units: 3-4 | Grading: Letter or Credit/No Credit,"Instructors: Schwarz, K. (PI)",FALSE,FALSE,TRUE,3-4 ," Schwarz, K. (PI)"
CS 168,The Modern Algorithmic Toolbox,"This course will provide a rigorous and hands-on introduction to the central ideas and algorithms that constitute the core of the modern algorithms toolkit. Emphasis will be on understanding the high-level theoretical intuitions and principles underlying the algorithms we discuss, as well as developing a concrete understanding of when and how to implement and apply the algorithms. The course will be structured as a sequence of one-week investigations; each week will introduce one algorithmic idea, and discuss the motivation, theoretical underpinning, and practical applications of that algorithmic idea. Each topic will be accompanied by a mini-project in which students will be guided through a practical application of the ideas of the week. Topics include hashing, dimension reduction and LSH, boosting, linear programming, gradient descent, sampling and estimation, and an introduction to spectral techniques. Prerequisites: CS107 and CS161, or permission from the instructor.",Terms: Spr | Units: 3-4 | Grading: Letter or Credit/No Credit,"Instructors: Valiant, G. (PI)",FALSE,FALSE,TRUE,3-4 ," Valiant, G. (PI)"
CS 170,"Stanford Laptop Orchestra: Composition, Coding, and Performance (MUSIC 128)","Classroom instantiation of the Stanford Laptop Orchestra (SLOrk) which includes public performances. An ensemble of more than 20 humans, laptops, controllers, and special speaker arrays designed to provide each computer-mediated instrument with its sonic identity and presence. Topics and activities include issues of composing for laptop orchestras, instrument design, sound synthesis, programming, and live performance. May be repeated four times for credit. Space is limited; see https://ccrma.stanford.edu/courses/128 for information about the application and enrollment process. May be repeat for credit",Terms: Spr | Units: 1-5 | UG Reqs: WAY-CE | Repeatable for credit | Grading: Letter or Credit/No Credit,"Instructors: Wang, G. (PI) ; Atherton, J. (TA)",FALSE,FALSE,TRUE,1-5 ," Wang, G. (PI) ; Atherton, J. (TA)"
CS 181,"Computers, Ethics, and Public Policy","Primarily for majors entering computer-related fields. Ethical and social issues related to the development and use of computer technology. Ethical theory, and social, political, and legal considerations. Scenarios in problem areas: privacy, reliability and risks of complex systems, and responsibility of professionals for applications and consequences of their work. Prerequisite: 106B or X. To take this course, students need permission of instructor and may need to complete an assignment due at the first day of class.","Terms: Aut, Win | Units: 4 | UG Reqs: GER:EC-EthicReas, WAY-ER | Grading: Letter or Credit/No Credit","Instructors: Reich, R. (PI) ; Sahami, M. (PI) ; Weinstein, J. (PI) ; Winstein, K. (PI)",TRUE,TRUE,FALSE,4 ," Reich, R. (PI) ; Sahami, M. (PI) ; Weinstein, J. (PI) ; Winstein, K. (PI)"
CS 181W,"Computers, Ethics, and Public Policy (WIM)","Writing-intensive version of CS181. Satisfies the WIM requirement for Computer Science, Engineering Physics, STS, and Math/Comp Sci undergraduates. To take this course, students need permission of instructor and may need to complete an assignment due at the first day of class.","Terms: Aut, Win | Units: 4 | UG Reqs: GER:EC-EthicReas, WAY-ER | Grading: Letter (ABCD/NP)","Instructors: Reich, R. (PI) ; Sahami, M. (PI) ; Weinstein, J. (PI) ; Winstein, K. (PI)",TRUE,TRUE,FALSE,4 ," Reich, R. (PI) ; Sahami, M. (PI) ; Weinstein, J. (PI) ; Winstein, K. (PI)"
CS 183E,Effective Leadership in High-Tech,"You will undoubtedly leave Stanford with the technical skills to excel in your first few jobs. But non-technical skills are just as critical to making a difference. This seminar is taught by two industry veterans in engineering leadership and product management. In a small group setting, we will explore how you can be a great individual contributor (communicating with clarity, getting traction for your ideas, resolving conflict, and delivering your best work) and how you can transition into leadership roles (finding leadership opportunities, creating a great team culture, hiring and onboarding new team members). We will end by turning back to your career (picking your first job and negotiating your offer, managing your career changes, building a great network, and succeeding with mentors). Prerequisites: Preference given to seniors and co-terms in Computer Science and related majors. Enrollment limited and application required for admittance.",Terms: Aut | Units: 1 | Grading: Satisfactory/No Credit,"Instructors: Finley, M. (PI) ; Goldfein, J. (PI)",TRUE,FALSE,FALSE,1 ," Finley, M. (PI) ; Goldfein, J. (PI)"
CS 190,Software Design Studio,"This course teaches the art of software design: how to decompose large complex systems into classes that can be implemented and maintained easily. Topics include the causes of complexity, modular design, techniques for creating deep classes, minimizing the complexity associated with exceptions, in-code documentation, and name selection. The class involves significant system software implementation and uses an iterative approach consisting of implementation, review, and revision. The course is taught in a studio format with in-class discussions and code reviews in addition to lectures. Apply at: https://web.stanford.edu/class/cs190",Terms: Win | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: Ousterhout, J. (PI)",FALSE,TRUE,FALSE,3 ," Ousterhout, J. (PI)"
CS 191,Senior Project,Restricted to Computer Science and Computer Systems Engineering students. Group or individual projects under faculty direction. Register using instructor's section number. A project can be either a significant software application or publishable research. Software application projects include substantial programming and modern user-interface technologies and are comparable in scale to shareware programs or commercial applications. Research projects may result in a paper publishable in an academic journal or presentable at a conference. Required public presentation of final application or research results. Prerequisite: Completion of at least 135 units.,"Terms: Aut, Win, Spr, Sum | Units: 1-6 | Repeatable for credit | Grading: Letter (ABCD/NP)","Instructors: Agrawala, M. (PI) ; Aiken, A. (PI) ; Akeley, K. (PI) ...more instructors for CS 191 »",TRUE,TRUE,TRUE,1-6 ," Agrawala, M. (PI) ; Aiken, A. (PI) ; Akeley, K. (PI) ...more instructors for CS 191 »"
CS 191W,Writing Intensive Senior Project (WIM),Restricted to Computer Science and Computer Systems Engineering students. Writing-intensive version of CS191. Register using the section number of an Academic Council member. Prerequisite: Completion of at least 135 units.,"Terms: Aut, Win, Spr | Units: 3-6 | Repeatable for credit | Grading: Letter (ABCD/NP)","Instructors: Agrawala, M. (PI) ; Aiken, A. (PI) ; Akeley, K. (PI) ...more instructors for CS 191W »",TRUE,TRUE,TRUE,3-6 ," Agrawala, M. (PI) ; Aiken, A. (PI) ; Akeley, K. (PI) ...more instructors for CS 191W »"
CS 192,Programming Service Project,Restricted to Computer Science students. Appropriate academic credit (without financial support) is given for volunteer computer programming work of public benefit and educational value.,"Terms: Aut, Win, Spr, Sum | Units: 1-4 | Repeatable for credit | Grading: Letter or Credit/No Credit","Instructors: Aiken, A. (PI) ; Altman, R. (PI) ; Baker, M. (PI) ...more instructors for CS 192 »",TRUE,TRUE,TRUE,1-4 ," Aiken, A. (PI) ; Altman, R. (PI) ; Baker, M. (PI) ...more instructors for CS 192 »"
CS 193A,Android Programming,"Introduction to building applications for Android platform. Examines key concepts of Android programming: tool chain, application life-cycle, views, controls, intents, designing mobile UIs, networking, threading, and more. Features weekly lectures and a series of small programming projects. Phone not required, but a phone makes the projects more engaging. Prerequisites: 106B or Java experience at 106B level. Enrollment limited and application required.",Terms: Win | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: Stepp, M. (PI)",FALSE,TRUE,FALSE,3 ," Stepp, M. (PI)"
CS 193P,iOS Application Development,"Tools and APIs required to build applications for the iPhone and iPad platforms using the iOS SDK. User interface design for mobile devices and unique user interactions using multi-touch technologies. Object-oriented design using model-view-controller paradigm, memory management, Swift programming language. Other topics include: object-oriented database API, animation, multi-threading, networking and performance considerations. Prerequisites: C language and object-oriented programming experience exceeding 106B or X level. Previous completion of any one of the following is required: CS 107explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&q=CS107>, 108 (preferred) or 110. Recommended: UNIX, graphics, databases.",Terms: Spr | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: Hegarty, P. (PI)",FALSE,FALSE,TRUE,3 ," Hegarty, P. (PI)"
CS 194,Software Project,"Design, specification, coding, and testing of a significant team programming project under faculty supervision. Documentation includes capture of project rationale, design and discussion of key performance indicators, a weekly progress log and a software architecture diagram. Public demonstration of the project at the end of the quarter. Preference given to seniors. May be repeated for credit. Prerequisites: CS 110 and CS 161.","Terms: Win, Spr | Units: 3 | Repeatable for credit | Grading: Letter (ABCD/NP)","Instructors: Borenstein, J. (PI)",FALSE,TRUE,TRUE,3 ," Borenstein, J. (PI)"
CS 194H,User Interface Design Project,"Advanced methods for designing, prototyping, and evaluating user interfaces to computing applications. Novel interface technology, advanced interface design methods, and prototyping tools. Substantial, quarter-long course project that will be presented in a public presentation. Prerequisites: CS 147, or permission of instructor.",Terms: Win | Units: 3-4 | Grading: Letter (ABCD/NP),"Instructors: Landay, J. (PI)",FALSE,TRUE,FALSE,3-4 ," Landay, J. (PI)"
CS 194W,Software Project (WIM),Restricted to Computer Science and Electrical Engineering undergraduates. Writing-intensive version of CS194. Preference given to seniors.,"Terms: Win, Spr | Units: 3 | Grading: Letter (ABCD/NP)","Instructors: Borenstein, J. (PI)",FALSE,TRUE,TRUE,3 ," Borenstein, J. (PI)"
CS 195,Supervised Undergraduate Research,Directed research under faculty supervision. Students are required to submit a written report and give a public presentation on their work.,"Terms: Aut, Win, Spr, Sum | Units: 3-4 | Repeatable for credit | Grading: Letter (ABCD/NP)","Instructors: Bejerano, G. (PI) ; Genesereth, M. (PI) ; Ng, A. (PI)",TRUE,TRUE,TRUE,3-4 ," Bejerano, G. (PI) ; Genesereth, M. (PI) ; Ng, A. (PI)"
CS 196,Computer Consulting (VPTL 196),"Focus is on Macintosh and Windows operating system maintenance and troubleshooting through hardware and software foundation and concepts. Topics include operating systems, networking, security, troubleshooting methodology with emphasis on Stanford's computing environment. Not a programming course. Prerequisite: 1C or equivalent.","Terms: Win, Spr | Units: 2 | Grading: Satisfactory/No Credit","Instructors: Smith, S. (PI)",FALSE,TRUE,TRUE,2 ," Smith, S. (PI)"
CS 198,Teaching Computer Science,"Students lead a discussion section of 106A while learning how to teach a programming language at the introductory level. Focus is on teaching skills, techniques, and course specifics. Application and interview required; see http://cs198.stanford.edu.","Terms: Aut, Win, Spr | Units: 3-4 | Grading: Satisfactory/No Credit","Instructors: Conklin, T. (PI) ; Kincaid, C. (PI) ; Sahami, M. (PI) ; Watson, J. (PI)",TRUE,TRUE,TRUE,3-4 ," Conklin, T. (PI) ; Kincaid, C. (PI) ; Sahami, M. (PI) ; Watson, J. (PI)"
CS 198B,Additional Topics in Teaching Computer Science,Students build on the teaching skills developed in CS198. Focus is on techniques used to teach topics covered in CS106B. Prerequisite: successful completion of CS198.,"Terms: Aut, Win, Spr | Units: 1 | Grading: Satisfactory/No Credit","Instructors: Conklin, T. (PI) ; Kincaid, C. (PI) ; Sahami, M. (PI) ; Watson, J. (PI)",TRUE,TRUE,TRUE,1 ," Conklin, T. (PI) ; Kincaid, C. (PI) ; Sahami, M. (PI) ; Watson, J. (PI)"
CS 199,Independent Work,"Special study under faculty direction, usually leading to a written report. Letter grade; if not appropriate, enroll in 199P.","Terms: Aut, Win, Spr, Sum | Units: 1-6 | Repeatable for credit | Grading: Letter (ABCD/NP)","Instructors: Agrawala, M. (PI) ; Aiken, A. (PI) ; Akeley, K. (PI) ...more instructors for CS 199 »",TRUE,TRUE,TRUE,1-6 ," Agrawala, M. (PI) ; Aiken, A. (PI) ; Akeley, K. (PI) ...more instructors for CS 199 »"
CS 199P,Independent Work,(Staff),"Terms: Aut, Win, Spr, Sum | Units: 1-6 | Repeatable for credit | Grading: Satisfactory/No Credit","Instructors: Agrawala, M. (PI) ; Aiken, A. (PI) ; Altman, R. (PI) ...more instructors for CS 199P »",TRUE,TRUE,TRUE,1-6 ," Agrawala, M. (PI) ; Aiken, A. (PI) ; Altman, R. (PI) ...more instructors for CS 199P »"
CS 202,Law for Computer Science Professionals,"An overview of intellectual property law as it relates to computer science and other disciplines, including discussions of patents, trademarks, copyrights, trade secrets, computer fraud litigation and interesting historical tidbits. Emphasis on topics of current interest such as software and business method patents, copyright issues concerning software, music, art and artificial intelligence, and current disputes of note including the recently-settled Waymo v. Uber lawsuit and the ongoing Oracle v. Google, Apple v. Samsung and hiQ v. LinkedIn sagas. Guest lectures typically have covered open source and the free software movement, practical issues for business founders (including corporate formation issues and non-disclosure, non-compete, work-made-for-hire and license agreements), and other pertinent topics. Classes are presented in an open discussion format broadly directed to students with both technical and non-technical backgrounds.",Terms: Aut | Units: 1 | Grading: Satisfactory/No Credit,"Instructors: Hansen, D. (PI)",TRUE,FALSE,FALSE,1 ," Hansen, D. (PI)"
CS 204,Legal Informatics,"Legal informatics based on representation of regulations in computable form. Encoding regulations facilitate creation of legal information systems with significant practical value. Convergence of technological trends, growth of the Internet, advent of semantic web technology, and progress in computational logic make computational law prospects better. Topics: current state of computational law, prospects and problems, philosophical and legal implications. This course is *Cross* listed with LAW 4019. Prerequisite: basic concepts of programming.",Terms: Spr | Units: 2-3 | Grading: Letter or Credit/No Credit,"Instructors: Genesereth, M. (PI) ; Vogl, R. (PI)",FALSE,FALSE,TRUE,2-3 ," Genesereth, M. (PI) ; Vogl, R. (PI)"
CS 205L,Continuous Mathematical Methods with an Emphasis on Machine Learning,"A survey of numerical approaches to the continuous mathematics used in computer vision and robotics with emphasis on machine and deep learning. Although motivated from the standpoint of machine learning, the course will focus on the underlying mathematical methods including computational linear algebra and optimization, as well as special topics such as automatic differentiation via backward propagation, momentum methods from ordinary differential equations, CNNs, RNNs, etc. (Replaces CS205A, and satisfies all similar requirements.) Prerequisites: Math 51; Math 104 or 113 or equivalent or comfortable with the associated material.",Terms: Win | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: Fedkiw, R. (PI)",FALSE,TRUE,FALSE,3 ," Fedkiw, R. (PI)"
CS 206,Exploring Computational Journalism (COMM 281),"This project-based course will explore the field of computational journalism, including the use of Data Science, Info Visualization, AI, and emerging technologies to help journalists discover and tell stories, understand their audience, advance free speech, and build trust. Admission by application; please email R.B. Brenner at rbbrenner@stanford.edu to request application.",Terms: Aut | Units: 3 | Grading: Letter (ABCD/NP),"Instructors: Agrawala, M. (PI) ; Bharat, K. (PI) ; Brenner, R. (PI)",TRUE,FALSE,FALSE,3 ," Agrawala, M. (PI) ; Bharat, K. (PI) ; Brenner, R. (PI)"
CS 208E,Great Ideas in Computer Science,Great Ideas in Computer Science Covers the intellectual tradition of computer science emphasizing ideas that reflect the most important milestones in the history of the discipline. Topics include programming and problem solving; implementing computation in hardware; algorithmic efficiency; the theoretical limits of computation; cryptography and security; computer networks; machine learning; and the philosophy behind artificial intelligence. Readings will include classic papers along with additional explanatory material.,Terms: Aut | Units: 3 | Grading: Letter (ABCD/NP),"Instructors: Gregg, C. (PI)",TRUE,FALSE,FALSE,3 ," Gregg, C. (PI)"
CS 210A,Software Project Experience with Corporate Partners,"Two-quarter project course. Focus is on real-world software development. Corporate partners seed projects with loosely defined challenges from their R&D labs; students innovate to build their own compelling software solutions. Student teams are treated as start-up companies with a budget and a technical advisory board comprised of instructional staff and corporate liaisons. Teams will typically travel to the corporate headquarters of their collaborating partner, meaning some teams will travel internationally. Open loft classroom format such as found in Silicon Valley software companies. Exposure to: current practices in software engineering; techniques for stimulating innovation; significant development experience with creative freedoms; working in groups; real-world software engineering challenges; public presentation of technical work; creating written descriptions of technical work. Prerequisites: CS 109 and 110.",Terms: Win | Units: 3-4 | Grading: Letter (ABCD/NP),"Instructors: Borenstein, J. (PI)",FALSE,TRUE,FALSE,3-4 ," Borenstein, J. (PI)"
CS 210B,Software Project Experience with Corporate Partners,"Continuation of CS210A. Focus is on real-world software development. Corporate partners seed projects with loosely defined challenges from their R&D labs; students innovate to build their own compelling software solutions. Student teams are treated as start-up companies with a budget and a technical advisory board comprised of the instructional staff and corporate liaisons. Teams will typically travel to the corporate headquarters of their collaborating partner, meaning some teams will travel internationally. Open loft classroom format such as found in Silicon Valley software companies. Exposure to: current practices in software engineering; techniques for stimulating innovation; significant development experience with creative freedoms; working in groups; real world software engineering challenges; public presentation of technical work; creating written descriptions of technical work. Prerequisites: CS 210A",Terms: Spr | Units: 3-4 | Grading: Letter (ABCD/NP),"Instructors: Borenstein, J. (PI)",FALSE,FALSE,TRUE,3-4 ," Borenstein, J. (PI)"
CS 217,Hardware Accelerators for Machine Learning,"This course provides in-depth coverage of the architectural techniques used to design accelerators for training and inference in machine learning systems. This course will cover classical ML algorithms such as linear regression and support vector machines as well as DNN models such as convolutional neural nets, and recurrent neural nets. We will consider both training and inference for these models and discuss the impact of parameters such as batch size, precision, sparsity and compression on the accuracy of these models. We will cover the design of accelerators for ML model inference and training. Students will become familiar with hardware implementation techniques for using parallelism, locality, and low precision to implement the core computational kernels used in ML. To design energy-efficient accelerators, students will develop the intuition to make trade-offs between ML model parameters and hardware implementation techniques. Students will read recent research papers and complete a design project. Prerequisites: CS 149 or EE 180. CS 229 is ideal, but not required.",Terms: Aut | Units: 3-4 | Grading: Letter or Credit/No Credit,"Instructors: Olukotun, O. (PI)",TRUE,FALSE,FALSE,3-4 ," Olukotun, O. (PI)"
CS 221,Artificial Intelligence: Principles and Techniques,"Artificial intelligence (AI) has had a huge impact in many areas, including medical diagnosis, speech recognition, robotics, web search, advertising, and scheduling. This course focuses on the foundational concepts that drive these applications. In short, AI is the mathematics of making good decisions given incomplete information (hence the need for probability) and limited computation (hence the need for algorithms). Specific topics include search, constraint satisfaction, game playing, Markov decision processes, graphical models, machine learning, and logic. Prerequisites: CS 103 or CS 103B/X, CS 106B or CS 106X, CS 107, and CS 109 (algorithms, probability, and programming experience).","Terms: Aut, Spr | Units: 3-4 | Grading: Letter or Credit/No Credit","Instructors: Charikar, M. (PI) ; Liang, P. (PI) ; Sadigh, D. (PI)",TRUE,FALSE,TRUE,3-4 ," Charikar, M. (PI) ; Liang, P. (PI) ; Sadigh, D. (PI)"
CS 223A,Introduction to Robotics (ME 320),"Robotics foundations in modeling, design, planning, and control. Class covers relevant results from geometry, kinematics, statics, dynamics, motion planning, and control, providing the basic methodologies and tools in robotics research and applications. Concepts and models are illustrated through physical robot platforms, interactive robot simulations, and video segments relevant to historical research developments or to emerging application areas in the field. Recommended: matrix algebra.",Terms: Win | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: Bohg, J. (PI) ; Khatib, O. (PI)",FALSE,TRUE,FALSE,3 ," Bohg, J. (PI) ; Khatib, O. (PI)"
CS 224N,Natural Language Processing with Deep Learning (LINGUIST 284),"Methods for processing human language information and the underlying computational properties of natural languages. Focus on deep learning approaches: understanding, implementing, training, debugging, visualizing, and extending neural network models for a variety of language understanding tasks. Exploration of natural language tasks ranging from simple word level and syntactic processing to coreference, question answering, and machine translation. Examination of representative papers and systems and completion of a final project applying a complex neural network model to a large-scale NLP problem. Prerequisites: calculus and linear algebra; CS124 or CS121/221.",Terms: Win | Units: 3-4 | Grading: Letter or Credit/No Credit,"Instructors: Manning, C. (PI)",FALSE,TRUE,FALSE,3-4 ," Manning, C. (PI)"
CS 224U,"Natural Language Understanding (LINGUIST 188, LINGUIST 288)","Project-oriented class focused on developing systems and algorithms for robust machine understanding of human language. Draws on theoretical concepts from linguistics, natural language processing, and machine learning. Topics include lexical semantics, distributed representations of meaning, relation extraction, semantic parsing, sentiment analysis, and dialogue agents, with special lectures on developing projects, presenting research results, and making connections with industry. Prerequisites: one of LINGUIST 180, CS 124, CS 224N, CS224S, or CS221; and logical/semantics such as LINGUIST 130A or B, CS 157, or PHIL150",Terms: Spr | Units: 3-4 | Grading: Letter or Credit/No Credit,"Instructors: MacCartney, B. (PI) ; Potts, C. (PI)",FALSE,FALSE,TRUE,3-4 ," MacCartney, B. (PI) ; Potts, C. (PI)"
CS 224W,Analysis of Networks,"Networks are a fundamental tool for modeling complex social, technological, and biological systems. Coupled with emergence of online social networks and large-scale data availability in biological sciences, this course focuses on the analysis of massive networks which provide many computational, algorithmic, and modeling challenges. This course develops computational tools that reveal how the social, technological, and natural worlds are connected, and how the study of networks sheds light on these connections. nTopics include: how information spreads through society; robustness and fragility of food webs and financial markets; algorithms for the World Wide Web; friend prediction in online social networks; identification of functional modules in biological networks; disease outbreak detection.",Terms: Aut | Units: 3-4 | Grading: Letter or Credit/No Credit,"Instructors: Leskovec, J. (PI)",TRUE,FALSE,FALSE,3-4 ," Leskovec, J. (PI)"
CS 225A,Experimental Robotics,"Hands-on laboratory course experience in robotic manipulation. Topics include robot kinematics, dynamics, control, compliance, sensor-based collision avoidance, and human-robot interfaces. Second half of class is devoted to final projects using various robotic platforms to build and demonstrate new robot task capabilities. Previous projects include the development of autonomous robot behaviors of drawing, painting, playing air hocket, yoyo, basketball, ping-pong or xylophone. Prerequisites: 223A or equivalent.",Terms: Spr | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: Khatib, O. (PI)",FALSE,FALSE,TRUE,3 ," Khatib, O. (PI)"
CS 227B,General Game Playing,"A general game playing system accepts a formal description of a game to play it without human intervention or algorithms designed for specific games. Hands-on introduction to these systems and artificial intelligence techniques such as knowledge representation, reasoning, learning, and rational behavior. Students create GGP systems to compete with each other and in external competitions. Prerequisite: programming experience. Recommended: 103 or equivalent.",Terms: Spr | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: Genesereth, M. (PI)",FALSE,FALSE,TRUE,3 ," Genesereth, M. (PI)"
CS 228,Probabilistic Graphical Models: Principles and Techniques,"Probabilistic graphical modeling languages for representing complex domains, algorithms for reasoning using these representations, and learning these representations from data. Topics include: Bayesian and Markov networks, extensions to temporal modeling such as hidden Markov models and dynamic Bayesian networks, exact and approximate probabilistic inference algorithms, and methods for learning models from data. Also included are sample applications to various domains including speech recognition, biological modeling and discovery, medical diagnosis, message encoding, vision, and robot motion planning. Prerequisites: basic probability theory and algorithm design and analysis.",Terms: Win | Units: 3-4 | Grading: Letter or Credit/No Credit,"Instructors: Ermon, S. (PI)",FALSE,TRUE,FALSE,3-4 ," Ermon, S. (PI)"
CS 229,Machine Learning (STATS 229),"Topics: statistical pattern recognition, linear and non-linear regression, non-parametric methods, exponential family, GLMs, support vector machines, kernel methods, model/feature selection, learning theory, VC dimension, clustering, density estimation, EM, dimensionality reduction, ICA, PCA, reinforcement learning and adaptive control, Markov decision processes, approximate dynamic programming, and policy search. Prerequisites: linear algebra, and basic probability and statistics.","Terms: Aut, Spr | Units: 3-4 | Grading: Letter or Credit/No Credit","Instructors: Dror, R. (PI) ; Ma, T. (PI) ; Ng, A. (PI) ; Re, C. (PI)",TRUE,FALSE,TRUE,3-4 ," Dror, R. (PI) ; Ma, T. (PI) ; Ng, A. (PI) ; Re, C. (PI)"
CS 229A,Applied Machine Learning,"You will learn to implement and apply machine learning algorithms. This course emphasizes practical skills, and focuses on giving you skills to make these algorithms work. You will learn about commonly used learning techniques including supervised learning algorithms (logistic regression, linear regression, SVM, neural networks/deep learning), unsupervised learning algorithms (k-means), as well as learn about specific applications such as anomaly detection and building recommender systems. This class is taught in the flipped-classroom format. You will watch videos and complete in-depth programming assignments and online quizzes at home, then come to class for discussion sections. This class will culminate in an open-ended final project, which the teaching team will help you on. Prerequisites: Programming at the level of CS106B or 106X, and basic linear algebra such as Math 51.","Terms: Aut, Win, Spr | Units: 3-4 | Grading: Letter or Credit/No Credit","Instructors: Katanforoosh, K. (PI) ; Ng, A. (PI) ; Bensouda Mourri, Y. (TA)",TRUE,TRUE,TRUE,3-4 ," Katanforoosh, K. (PI) ; Ng, A. (PI) ; Bensouda Mourri, Y. (TA)"
CS 229T,Statistical Learning Theory (STATS 231),"How do we formalize what it means for an algorithm to learn from data? How do we use mathematical thinking to design better machine learning methods? This course focuses on developing mathematical tools for answering these questions. We will present various learning algorithms and prove theoretical guarantees about them. Topics include generalization bounds, implicit regularization, the theory of deep learning, spectral methods, and online learning and bandits problems. Prerequisites: A solid background in linear algebra and probability theory, statistics and machine learning ( STATS 315A or CS 229).",Terms: Aut | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: Ma, T. (PI)",TRUE,FALSE,FALSE,3 ," Ma, T. (PI)"
